Year,Month,SiteID,Type,lat,lon,GPP,Mod17a2,gpp_lue_LAI,gpp_lue_CI,gpp_lue_MCMC
2013,11,AU-ASM,ENF,-22.283,133.249,0.281077,0.309375,0,0,0
2013,12,AU-ASM,ENF,-22.283,133.249,0.238148,0.259375,0,0,0
2014,1,AU-ASM,ENF,-22.283,133.249,0.418563,0.58125,0,0,0
2014,2,AU-ASM,ENF,-22.283,133.249,1.37164,1.428125,0,0,0
2014,3,AU-ASM,ENF,-22.283,133.249,2.09776,1.13125,0,0,0
2014,4,AU-ASM,ENF,-22.283,133.249,1.25723,1.1625,0.327175873,2.005624103,2.325818714
2014,5,AU-ASM,ENF,-22.283,133.249,0.734185,0.99375,0.133459075,1.898522668,1.632670131
2014,6,AU-ASM,ENF,-22.283,133.249,0.314878,1.31875,0.152047698,2.800438692,2.190728801
2014,7,AU-ASM,ENF,-22.283,133.249,0.311092,1.215625,0.12641156,2.644735987,1.934141023
2014,8,AU-ASM,ENF,-22.283,133.249,0.196447,1.246875,0.144279793,2.816721666,2.215034162
2014,9,AU-ASM,ENF,-22.283,133.249,0.13334,0.553125,0,0,0
2014,10,AU-ASM,ENF,-22.283,133.249,0.135284,0.3125,0,0,0
2014,11,AU-ASM,ENF,-22.283,133.249,0.162585,0.26875,0,0,0
2014,12,AU-ASM,ENF,-22.283,133.249,1.16781,0.425,0,0,0
2010,1,AU-Cpr,SAV,-34.0021,140.5891,2.27457,1.075,0,NA,0
2010,2,AU-Cpr,SAV,-34.0021,140.5891,2.07366,1.246875,0,NA,0
2010,3,AU-Cpr,SAV,-34.0021,140.5891,1.88021,1.31875,0.252266244,NA,1.474877281
2010,4,AU-Cpr,SAV,-34.0021,140.5891,1.58904,1.458333333,0.403937833,NA,2.003974988
2010,5,AU-Cpr,SAV,-34.0021,140.5891,1.34219,1.290625,0.476587144,NA,1.607800601
2010,6,AU-Cpr,SAV,-34.0021,140.5891,1.19539,0.925,0.227391698,NA,0.855506497
2010,7,AU-Cpr,SAV,-34.0021,140.5891,1.23856,0.95,0.248840862,NA,0.797492753
2010,8,AU-Cpr,SAV,-34.0021,140.5891,0.903052,1.0625,0.292001627,NA,1.029553003
2010,9,AU-Cpr,SAV,-34.0021,140.5891,1.19204,1.671875,1.177146809,NA,2.147159293
2010,10,AU-Cpr,SAV,-34.0021,140.5891,1.19908,1.933333333,1.360616372,NA,2.306435787
2010,11,AU-Cpr,SAV,-34.0021,140.5891,1.54986,1.678125,0.416317674,NA,1.973659136
2010,12,AU-Cpr,SAV,-34.0021,140.5891,1.87905,1.9125,0.638257397,NA,2.71716309
2011,1,AU-Cpr,SAV,-34.0021,140.5891,2.41215,1.55625,0,NA,0
2011,2,AU-Cpr,SAV,-34.0021,140.5891,3.06253,2.678125,1.874331962,NA,4.03204068
2011,3,AU-Cpr,SAV,-34.0021,140.5891,2.8627,2.553125,1.023176544,NA,3.240256806
2011,4,AU-Cpr,SAV,-34.0021,140.5891,2.44095,2.054166667,1.126900989,NA,2.79533286
2011,5,AU-Cpr,SAV,-34.0021,140.5891,2.06465,1.753125,0.962967569,NA,1.919650633
2011,6,AU-Cpr,SAV,-34.0021,140.5891,1.62563,1.63125,1.016309201,NA,1.433856969
2011,7,AU-Cpr,SAV,-34.0021,140.5891,1.52458,1.41875,0.883620066,NA,1.348501158
2011,8,AU-Cpr,SAV,-34.0021,140.5891,1.55857,1.8875,1.418941385,NA,1.843199452
2011,9,AU-Cpr,SAV,-34.0021,140.5891,1.62503,1.884375,2.079491871,NA,2.528713361
2011,10,AU-Cpr,SAV,-34.0021,140.5891,1.8238,1.945833333,1.976461406,NA,2.632441105
2011,11,AU-Cpr,SAV,-34.0021,140.5891,1.79212,1.703125,0.534568847,NA,2.087036576
2011,12,AU-Cpr,SAV,-34.0021,140.5891,2.14121,1.925,0.933060331,NA,2.935963557
2012,1,AU-Cpr,SAV,-34.0021,140.5891,2.44935,1.984375,0,NA,0
2012,2,AU-Cpr,SAV,-34.0021,140.5891,1.789,1.815625,0.734933761,NA,2.292422141
2012,3,AU-Cpr,SAV,-34.0021,140.5891,2.56095,2.35,0.849099879,NA,2.933433153
2012,4,AU-Cpr,SAV,-34.0021,140.5891,2.27508,2.04375,1.050950853,NA,2.648314763
2012,5,AU-Cpr,SAV,-34.0021,140.5891,1.88063,1.579166667,0.700005909,NA,1.64462978
2012,6,AU-Cpr,SAV,-34.0021,140.5891,1.41473,1.346875,0.780162635,NA,1.200753004
2012,7,AU-Cpr,SAV,-34.0021,140.5891,1.3893,1.60625,0.89718074,NA,1.250135692
2012,8,AU-Cpr,SAV,-34.0021,140.5891,1.72679,1.825,1.107571598,NA,1.607993789
2012,9,AU-Cpr,SAV,-34.0021,140.5891,1.63775,2.19375,2.383458195,NA,2.745799486
2012,10,AU-Cpr,SAV,-34.0021,140.5891,1.32708,1.6625,1.11774342,NA,1.852626877
2012,11,AU-Cpr,SAV,-34.0021,140.5891,1.06351,1.604166667,0,NA,0
2012,12,AU-Cpr,SAV,-34.0021,140.5891,1.09079,1.609375,0,NA,0
2013,1,AU-Cpr,SAV,-34.0021,140.5891,0.618829,1.36875,0,NA,0
2013,2,AU-Cpr,SAV,-34.0021,140.5891,0.649397,1.346875,0,NA,0
2013,3,AU-Cpr,SAV,-34.0021,140.5891,1.53565,1.703125,0.467260628,NA,1.775698757
2013,4,AU-Cpr,SAV,-34.0021,140.5891,1.27532,1.579166667,0.622920956,NA,2.247542997
2013,5,AU-Cpr,SAV,-34.0021,140.5891,1.12006,1.328125,0.599436744,NA,1.643071997
2013,6,AU-Cpr,SAV,-34.0021,140.5891,1.3278,1.190625,0.504364331,NA,1.004584933
